Date,Symbol,Available Supply,Unlocked Supply,Team Holding,Initial Liquidity
Jun 29 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 29 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 28 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 28 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 27 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 27 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 26 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 26 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 25 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 25 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 24 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 24 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 23 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 23 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 22 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 22 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 21 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 21 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 20 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 20 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 19 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 19 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 18 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 18 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 17 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 17 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 16 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 16 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 15 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 15 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 14 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 14 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 13 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 13 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 12 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 12 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 11 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 11 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 10 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 10 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 09 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 09 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 08 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
Jun 08 2024,PEPE,420690000000000.00,420690000000000.00,29027610000000.00,391662390000000.00
