Date,Symbol,Price,Available Supply,Unlocked Supply,Reserved (TBD),Founder / Team,Private Investors,Public Investors,Community & Other
Oct 17 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 17 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 16 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 16 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 16 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 16 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 15 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 15 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 15 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 14 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 14 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 14 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 14 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 13 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 13 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 13 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 13 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 12 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 12 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 12 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 11 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 11 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 11 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 11 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 10 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 10 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 10 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 09 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 09 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 09 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 09 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 08 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 08 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 08 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 07 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 07 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 07 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 07 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 06 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 06 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 06 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 06 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 05 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 05 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 05 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 04 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 04 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 04 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 04 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 03 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 03 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 03 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 02 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 02 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 02 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 02 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 01 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 01 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Oct 01 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 30 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 30 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 30 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 30 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 29 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 29 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 29 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 29 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 28 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 28 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 28 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 27 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 27 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 27 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 27 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
Sep 26 2027,NEON,0,1000000000.00,756900000.00,243100000.00,220700000.00,161200000.00,50000000.00,325000000.00
